时间(s),器件类型,中心温度(℃),引脚温度(℃)
73.12,贴片电容,132.34,134.68
73.12,塑封芯片,129.58,134.68
73.12,陶封芯片,130.37,134.68
73.51,贴片电阻,134.21,135.26
73.51,贴片电容,135.17,135.26
73.51,塑封芯片,128.15,135.26
73.51,陶封芯片,132.9,135.26
73.9,贴片电阻,135.65,135.85
73.9,贴片电容,135.39,135.85
73.9,塑封芯片,128.23,135.85
73.9,陶封芯片,132.63,135.85
74.29,贴片电阻,133.52,136.44
74.29,贴片电容,135.27,136.44
74.29,塑封芯片,131.24,136.44
74.29,陶封芯片,133.99,136.44
74.68,贴片电阻,135.22,137.02
74.68,贴片电容,135.71,137.02
74.68,塑封芯片,131.47,137.02
74.68,陶封芯片,133.33,137.02
75.07,贴片电阻,135.09,137.61
75.07,贴片电容,137.56,137.61
75.07,塑封芯片,131.1,137.61
75.07,陶封芯片,133.74,137.61
75.46,贴片电阻,135.4,138.2
75.46,贴片电容,135.31,138.2
75.46,塑封芯片,132.22,138.2
75.46,陶封芯片,134.48,138.2
75.86,贴片电阻,138.43,138.78
75.86,贴片电容,138.04,138.78
75.86,塑封芯片,130.83,138.78
75.86,陶封芯片,134.09,138.78
76.25,贴片电阻,136.83,139.37
76.25,贴片电容,139.12,139.37
76.25,塑封芯片,133.59,139.37
76.25,陶封芯片,134.53,139.37
76.64,贴片电阻,138.62,139.96
76.64,贴片电容,139.93,139.96
76.64,塑封芯片,134.22,139.96
76.64,陶封芯片,135.07,139.96
77.03,贴片电阻,138.15,140.54
77.03,贴片电容,138.43,140.54
77.03,塑封芯片,134.16,140.54
77.03,陶封芯片,137.93,140.54
77.42,贴片电阻,140.25,141.13
77.42,贴片电容,140.75,141.13
77.42,塑封芯片,135.09,141.13
77.42,陶封芯片,137.82,141.13
77.81,贴片电阻,140.09,141.72
77.81,贴片电容,141.2,141.72
77.81,塑封芯片,135.63,141.72
77.81,陶封芯片,137.64,141.72
78.2,贴片电阻,140.14,142.3
78.2,贴片电容,141.35,142.3
78.2,塑封芯片,135.47,142.3
78.2,陶封芯片,139.58,142.3
78.59,贴片电阻,142.77,142.89
78.59,贴片电容,141.06,142.89
78.59,塑封芯片,135.49,142.89
78.59,陶封芯片,139.63,142.89
78.98,贴片电阻,141.6,143.48
78.98,贴片电容,143.19,143.48
78.98,塑封芯片,135.95,143.48
78.98,陶封芯片,141.29,143.48
79.37,贴片电阻,143.4,144.06
79.37,贴片电容,141.18,144.06
79.37,塑封芯片,138.3,144.06
79.37,陶封芯片,141.3,144.06
79.77,贴片电阻,142.98,144.65
79.77,贴片电容,142.45,144.65
79.77,塑封芯片,139.04,144.65
79.77,陶封芯片,142.29,144.65
80.16,贴片电阻,145.2,145.23
80.16,贴片电容,144.09,145.23
80.16,塑封芯片,137.28,145.23
80.16,陶封芯片,141.42,145.23
80.55,贴片电阻,145.62,145.82
80.55,贴片电容,143.15,145.82
80.55,塑封芯片,140.48,145.82
80.55,陶封芯片,141.16,145.82
80.94,贴片电阻,146.16,146.41
80.94,贴片电容,145.0,146.41
80.94,塑封芯片,141.07,146.41
80.94,陶封芯片,142.67,146.41
81.33,贴片电阻,145.74,146.99
81.33,贴片电容,145.8,146.99
81.33,塑封芯片,139.5,146.99
81.33,陶封芯片,144.65,146.99
81.72,贴片电阻,146.5,147.58
81.72,贴片电容,145.7,147.58
81.72,塑封芯片,139.89,147.58
81.72,陶封芯片,142.58,147.58
82.11,贴片电阻,148.05,148.17
82.11,贴片电容,146.64,148.17
82.11,塑封芯片,141.34,148.17
82.11,陶封芯片,143.76,148.17
82.5,贴片电阻,148.32,148.75
82.5,贴片电容,146.71,148.75
82.5,塑封芯片,141.01,148.75
82.5,陶封芯片,144.75,148.75
82.89,贴片电阻,149.11,149.34
82.89,贴片电容,148.55,149.34
82.89,塑封芯片,142.91,149.34
82.89,陶封芯片,145.01,149.34
83.28,贴片电阻,149.18,149.93
83.28,贴片电容,147.37,149.93
83.28,塑封芯片,143.57,149.93
83.28,陶封芯片,145.85,149.93
83.68,贴片电阻,150.37,150.51
83.68,贴片电容,150.44,150.51
83.68,塑封芯片,143.33,150.51
83.68,陶封芯片,146.17,150.51
84.07,贴片电阻,149.46,151.1
84.07,贴片电容,149.64,151.1
84.07,塑封芯片,145.29,151.1
84.07,陶封芯片,147.78,151.1
84.46,贴片电阻,148.81,151.69
84.46,贴片电容,149.52,151.69
84.46,塑封芯片,143.69,151.69
84.46,陶封芯片,149.55,151.69
84.85,贴片电阻,149.64,152.27
84.85,贴片电容,151.4,152.27
84.85,塑封芯片,145.77,152.27
84.85,陶封芯片,149.96,152.27
85.24,贴片电阻,150.42,152.86
85.24,贴片电容,152.64,152.86
85.24,塑封芯片,144.89,152.86
85.24,陶封芯片,148.8,152.86
85.63,贴片电阻,152.22,153.45
85.63,贴片电容,150.82,153.45
85.63,塑封芯片,145.78,153.45
85.63,陶封芯片,148.77,153.45
86.02,贴片电阻,152.81,154.03
86.02,贴片电容,151.05,154.03
86.02,塑封芯片,148.89,154.03
86.02,陶封芯片,150.29,154.03
86.41,贴片电阻,154.56,154.62
86.41,贴片电容,153.87,154.62
86.41,塑封芯片,149.19,154.62
86.41,陶封芯片,151.19,154.62
86.8,贴片电阻,152.92,155.21
86.8,贴片电容,154.52,155.21
86.8,塑封芯片,147.86,155.21
86.8,陶封芯片,150.57,155.21
87.19,贴片电阻,154.67,155.79
87.19,贴片电容,154.65,155.79
87.19,塑封芯片,150.76,155.79
87.19,陶封芯片,151.04,155.79
87.59,贴片电阻,154.68,156.38
87.59,贴片电容,156.26,156.38
87.59,塑封芯片,151.37,156.38
87.59,陶封芯片,151.53,156.38
87.98,贴片电阻,156.68,156.96
87.98,贴片电容,155.33,156.96
87.98,塑封芯片,149.54,156.96
87.98,陶封芯片,153.04,156.96
88.37,贴片电阻,154.99,157.55
88.37,贴片电容,155.88,157.55
88.37,塑封芯片,152.11,157.55
88.37,陶封芯片,155.32,157.55
88.76,贴片电阻,157.06,158.14
88.76,贴片电容,156.93,158.14
88.76,塑封芯片,152.53,158.14
88.76,陶封芯片,153.59,158.14
89.15,贴片电阻,158.48,158.72
89.15,贴片电容,157.52,158.72
89.15,塑封芯片,152.62,158.72
89.15,陶封芯片,153.82,158.72
89.54,贴片电阻,159.18,159.31
89.54,贴片电容,157.55,159.31
89.54,塑封芯片,151.51,159.31
89.54,陶封芯片,156.38,159.31
89.93,贴片电阻,159.7,159.9
89.93,贴片电容,159.05,159.9
89.93,塑封芯片,152.6,159.9
89.93,陶封芯片,155.22,159.9
90.32,贴片电阻,157.52,160.48
90.32,贴片电容,157.9,160.48
90.32,塑封芯片,153.13,160.48
90.32,陶封芯片,157.62,160.48
90.71,贴片电阻,160.93,161.07
90.71,贴片电容,160.26,161.07
90.71,塑封芯片,155.54,161.07
90.71,陶封芯片,158.87,161.07
91.1,贴片电阻,160.01,161.66
91.1,贴片电容,159.31,161.66
91.1,塑封芯片,154.75,161.66
91.1,陶封芯片,157.16,161.66
91.5,贴片电阻,160.71,162.24
91.5,贴片电容,161.56,162.24
91.5,塑封芯片,155.52,162.24
91.5,陶封芯片,158.67,162.24
91.89,贴片电阻,161.19,162.83
91.89,贴片电容,162.57,162.83
91.89,塑封芯片,156.01,162.83
91.89,陶封芯片,157.86,162.83
92.28,贴片电阻,163.39,163.42
92.28,贴片电容,160.48,163.42
92.28,塑封芯片,156.89,163.42
92.28,陶封芯片,161.01,163.42
92.67,贴片电阻,163.88,164.0
92.67,贴片电容,163.68,164.0
92.67,塑封芯片,156.2,164.0
92.67,陶封芯片,159.16,164.0
93.06,贴片电阻,162.3,164.59
93.06,贴片电容,164.44,164.59
93.06,塑封芯片,159.23,164.59
93.06,陶封芯片,161.11,164.59
93.45,贴片电阻,162.66,165.18
93.45,贴片电容,164.94,165.18
93.45,塑封芯片,157.61,165.18
93.45,陶封芯片,161.99,165.18
93.84,贴片电阻,163.14,165.76
93.84,贴片电容,163.93,165.76
93.84,塑封芯片,158.02,165.76
93.84,陶封芯片,163.55,165.76
94.23,贴片电阻,163.91,166.35
94.23,贴片电容,165.88,166.35
94.23,塑封芯片,159.17,166.35
94.23,陶封芯片,161.87,166.35
94.62,贴片电阻,165.09,166.94
94.62,贴片电容,164.96,166.94
94.62,塑封芯片,160.71,166.94
94.62,陶封芯片,162.21,166.94
95.01,贴片电阻,165.37,167.52
95.01,贴片电容,165.19,167.52
95.01,塑封芯片,161.1,167.52
95.01,陶封芯片,163.6,167.52
95.41,贴片电阻,166.76,168.11
95.41,贴片电容,166.16,168.11
95.41,塑封芯片,160.15,168.11
95.41,陶封芯片,164.31,168.11
95.8,贴片电阻,166.23,168.7
95.8,贴片电容,166.12,168.7
95.8,塑封芯片,163.25,168.7
95.8,陶封芯片,165.63,168.7
96.19,贴片电阻,169.08,169.28
96.19,贴片电容,166.43,169.28
96.19,塑封芯片,162.59,169.28
96.19,陶封芯片,164.36,169.28
96.58,贴片电阻,167.07,169.87
96.58,贴片电容,169.84,169.87
96.58,塑封芯片,164.26,169.87
96.58,陶封芯片,165.29,169.87
96.97,贴片电阻,167.94,170.45
96.97,贴片电容,168.24,170.45
96.97,塑封芯片,163.85,170.45
96.97,陶封芯片,166.01,170.45
97.36,贴片电阻,168.88,171.04
97.36,贴片电容,169.09,171.04
97.36,塑封芯片,165.98,171.04
97.36,陶封芯片,167.56,171.04
97.75,贴片电阻,169.89,171.63
97.75,贴片电容,169.14,171.63
97.75,塑封芯片,164.9,171.63
97.75,陶封芯片,168.0,171.63
98.14,贴片电阻,171.45,172.21
98.14,贴片电容,171.1,172.21
98.14,塑封芯片,166.27,172.21
98.14,陶封芯片,169.18,172.21
98.53,贴片电阻,170.49,172.8
98.53,贴片电容,171.32,172.8
98.53,塑封芯片,165.35,172.8
98.53,陶封芯片,169.52,172.8
98.92,贴片电阻,170.41,173.39
98.92,贴片电容,170.73,173.39
98.92,塑封芯片,165.83,173.39
98.92,陶封芯片,168.85,173.39
99.32,贴片电阻,172.44,173.97
99.32,贴片电容,173.3,173.97
99.32,塑封芯片,168.52,173.97
99.32,陶封芯片,170.41,173.97
99.71,贴片电阻,172.58,174.56
99.71,贴片电容,172.83,174.56
99.71,塑封芯片,168.07,174.56
99.71,陶封芯片,171.0,174.56
100.1,贴片电阻,173.35,175.15
100.1,贴片电容,173.12,175.15
100.1,塑封芯片,169.72,175.15
100.1,陶封芯片,170.51,175.15
100.49,贴片电阻,173.89,175.73
100.49,贴片电容,173.27,175.73
100.49,塑封芯片,169.66,175.73
100.49,陶封芯片,172.46,175.73
100.88,贴片电阻,173.54,176.32
100.88,贴片电容,175.68,176.32
100.88,塑封芯片,170.47,176.32
100.88,陶封芯片,173.74,176.32
101.27,贴片电阻,175.32,176.91
101.27,贴片电容,174.93,176.91
101.27,塑封芯片,171.24,176.91
101.27,陶封芯片,173.82,176.91
101.66,贴片电阻,174.9,177.49
101.66,贴片电容,175.83,177.49
101.66,塑封芯片,172.31,177.49
101.66,陶封芯片,175.06,177.49
102.05,贴片电阻,175.1,178.08
102.05,贴片电容,175.23,178.08
102.05,塑封芯片,172.1,178.08
102.05,陶封芯片,173.95,178.08
102.44,贴片电阻,176.45,178.67
102.44,贴片电容,177.99,178.67
102.44,塑封芯片,172.35,178.67
102.44,陶封芯片,174.48,178.67
102.83,贴片电阻,178.19,179.25
102.83,贴片电容,178.06,179.25
102.83,塑封芯片,171.59,179.25
102.83,陶封芯片,175.73,179.25
103.23,贴片电阻,176.96,179.84
103.23,贴片电容,178.88,179.84
103.23,塑封芯片,172.12,179.84
103.23,陶封芯片,177.59,179.84
103.62,贴片电阻,179.63,180.43
103.62,贴片电容,177.66,180.43
103.62,塑封芯片,173.69,180.43
103.62,陶封芯片,177.21,180.43
104.01,贴片电阻,180.57,181.01
104.01,贴片电容,178.44,181.01
104.01,塑封芯片,173.03,181.01
104.01,陶封芯片,176.42,181.01
104.4,贴片电阻,179.93,181.6
104.4,贴片电容,180.7,181.6
104.4,塑封芯片,176.35,181.6
104.4,陶封芯片,177.25,181.6
104.79,贴片电阻,180.83,182.18
104.79,贴片电容,181.54,182.18
104.79,塑封芯片,175.89,182.18
104.79,陶封芯片,178.62,182.18
105.18,贴片电阻,180.78,182.77
105.18,贴片电容,180.04,182.77
105.18,塑封芯片,174.93,182.77
105.18,陶封芯片,178.86,182.77
105.57,贴片电阻,181.56,183.36
105.57,贴片电容,180.88,183.36
105.57,塑封芯片,175.85,183.36
105.57,陶封芯片,180.98,183.36
105.96,贴片电阻,183.4,183.94
105.96,贴片电容,181.76,183.94
105.96,塑封芯片,176.49,183.94
105.96,陶封芯片,181.92,183.94
106.35,贴片电阻,182.76,184.53
106.35,贴片电容,184.51,184.53
106.35,塑封芯片,177.99,184.53
106.35,陶封芯片,181.88,184.53
106.74,贴片电阻,183.03,185.12
106.74,贴片电容,184.06,185.12
106.74,塑封芯片,178.01,185.12
106.74,陶封芯片,180.6,185.12
107.14,贴片电阻,184.86,185.7
107.14,贴片电容,183.4,185.7
107.14,塑封芯片,180.48,185.7
107.14,陶封芯片,182.99,185.7
107.53,贴片电阻,183.55,186.29
107.53,贴片电容,184.03,186.29
107.53,塑封芯片,180.05,186.29
107.53,陶封芯片,182.81,186.29
107.92,贴片电阻,185.47,186.88
107.92,贴片电容,186.82,186.88
107.92,塑封芯片,181.67,186.88
107.92,陶封芯片,183.17,186.88
108.31,贴片电阻,187.43,187.46
108.31,贴片电容,185.02,187.46
108.31,塑封芯片,181.6,187.46
108.31,陶封芯片,183.49,187.46
108.7,贴片电阻,187.43,188.05
108.7,贴片电容,186.22,188.05
108.7,塑封芯片,182.34,188.05
108.7,陶封芯片,183.75,188.05
109.09,贴片电阻,186.46,188.64
109.09,贴片电容,185.64,188.64
109.09,塑封芯片,180.7,188.64
109.09,陶封芯片,184.87,188.64
109.48,贴片电阻,186.73,189.22
109.48,贴片电容,188.03,189.22
109.48,塑封芯片,184.14,189.22
109.48,陶封芯片,185.72,189.22
109.87,贴片电阻,186.94,189.81
109.87,贴片电容,189.43,189.81
109.87,塑封芯片,183.82,189.81
109.87,陶封芯片,185.11,189.81
110.26,贴片电阻,190.39,190.4
110.26,贴片电容,189.72,190.4
110.26,塑封芯片,182.43,190.4
110.26,陶封芯片,187.46,190.4
110.65,贴片电阻,190.59,190.98
110.65,贴片电容,190.54,190.98
110.65,塑封芯片,184.87,190.98
110.65,陶封芯片,186.04,190.98
111.05,贴片电阻,190.22,191.57
111.05,贴片电容,190.88,191.57
111.05,塑封芯片,183.97,191.57
111.05,陶封芯片,188.99,191.57
111.44,贴片电阻,189.24,192.16
111.44,贴片电容,189.5,192.16
111.44,塑封芯片,186.84,192.16
111.44,陶封芯片,189.62,192.16
111.83,贴片电阻,191.39,192.74
111.83,贴片电容,190.08,192.74
111.83,塑封芯片,185.63,192.74
111.83,陶封芯片,187.88,192.74
112.22,贴片电阻,192.06,193.33
112.22,贴片电容,192.29,193.33
112.22,塑封芯片,187.72,193.33
112.22,陶封芯片,190.19,193.33
112.61,贴片电阻,192.31,193.91
112.61,贴片电容,193.06,193.91
112.61,塑封芯片,187.84,193.91
112.61,陶封芯片,190.97,193.91
113.0,贴片电阻,191.66,194.5
113.0,贴片电容,193.54,194.5
113.0,塑封芯片,189.07,194.5
113.0,陶封芯片,189.99,194.5
113.39,贴片电阻,192.56,195.09
113.39,贴片电容,194.74,195.09
113.39,塑封芯片,187.09,195.09
113.39,陶封芯片,192.98,195.09
113.78,贴片电阻,194.84,195.67
113.78,贴片电容,193.37,195.67
113.78,塑封芯片,188.67,195.67
113.78,陶封芯片,192.03,195.67
114.17,贴片电阻,195.81,196.26
114.17,贴片电容,196.25,196.26
114.17,塑封芯片,188.8,196.26
114.17,陶封芯片,191.43,196.26
114.57,贴片电阻,195.52,196.85
114.57,贴片电容,196.68,196.85
114.57,塑封芯片,191.39,196.85
114.57,陶封芯片,192.18,196.85
114.96,贴片电阻,195.81,197.43
114.96,贴片电容,195.21,197.43
114.96,塑封芯片,191.71,197.43
114.96,陶封芯片,194.13,197.43
115.35,贴片电阻,196.85,198.02
115.35,贴片电容,195.36,198.02
115.35,塑封芯片,190.52,198.02
115.35,陶封芯片,194.73,198.02
115.74,贴片电阻,196.83,198.61
115.74,贴片电容,195.96,198.61
115.74,塑封芯片,190.71,198.61
115.74,陶封芯片,193.84,198.61
116.13,贴片电阻,197.21,199.19
116.13,贴片电容,198.09,199.19
116.13,塑封芯片,191.34,199.19
116.13,陶封芯片,197.17,199.19
116.52,贴片电阻,198.49,199.78
116.52,贴片电容,197.77,199.78
116.52,塑封芯片,194.49,199.78
116.52,陶封芯片,194.83,199.78
116.91,贴片电阻,198.42,200.37
116.91,贴片电容,198.92,200.37
116.91,塑封芯片,194.43,200.37
116.91,陶封芯片,197.74,200.37
117.3,贴片电阻,200.68,200.95
117.3,贴片电容,200.07,200.95
117.3,塑封芯片,194.34,200.95
117.3,陶封芯片,197.06,200.95
117.69,贴片电阻,200.33,201.54
117.69,贴片电容,198.6,201.54
117.69,塑封芯片,193.9,201.54
117.69,陶封芯片,199.04,201.54
118.08,贴片电阻,199.28,202.13
118.08,贴片电容,201.78,202.13
118.08,塑封芯片,194.79,202.13
118.08,陶封芯片,198.62,202.13
118.48,贴片电阻,200.18,202.71
118.48,贴片电容,201.76,202.71
118.48,塑封芯片,196.83,202.71
118.48,陶封芯片,199.63,202.71
118.87,贴片电阻,200.87,203.3
118.87,贴片电容,201.99,203.3
118.87,塑封芯片,196.66,203.3
118.87,陶封芯片,200.62,203.3
119.26,贴片电阻,202.01,203.89
119.26,贴片电容,202.41,203.89
119.26,塑封芯片,197.89,203.89
119.26,陶封芯片,201.43,203.89
119.65,贴片电阻,202.46,204.47
119.65,贴片电容,202.12,204.47
119.65,塑封芯片,197.88,204.47
119.65,陶封芯片,199.94,204.47
120.04,贴片电阻,175.28,176.16
120.04,贴片电容,174.08,176.16
120.04,塑封芯片,168.82,176.16
120.04,陶封芯片,172.73,176.16
120.43,贴片电阻,178.56,181.45
120.43,贴片电容,180.9,181.45
120.43,塑封芯片,175.27,181.45
120.43,陶封芯片,178.65,181.45
120.82,贴片电阻,178.15,179.26
120.82,贴片电容,176.7,179.26
120.82,塑封芯片,171.56,179.26
120.82,陶封芯片,176.92,179.26
121.21,贴片电阻,181.56,182.31
121.21,贴片电容,181.07,182.31
121.21,塑封芯片,174.53,182.31
121.21,陶封芯片,179.11,182.31
121.6,贴片电阻,180.49,182.89
121.6,贴片电容,180.57,182.89
121.6,塑封芯片,176.21,182.89
121.6,陶封芯片,180.2,182.89
121.99,贴片电阻,180.53,181.94
121.99,贴片电容,181.21,181.94
121.99,塑封芯片,176.02,181.94
121.99,陶封芯片,177.73,181.94
122.39,贴片电阻,173.13,175.68
122.39,贴片电容,175.39,175.68
122.39,塑封芯片,169.41,175.68
122.39,陶封芯片,172.78,175.68
122.78,贴片电阻,180.79,183.06
122.78,贴片电容,181.63,183.06
122.78,塑封芯片,175.31,183.06
122.78,陶封芯片,179.56,183.06
123.17,贴片电阻,175.91,176.07
123.17,贴片电容,174.98,176.07
123.17,塑封芯片,170.12,176.07
123.17,陶封芯片,171.86,176.07
123.56,贴片电阻,184.69,184.93
123.56,贴片电容,183.37,184.93
123.56,塑封芯片,178.06,184.93
123.56,陶封芯片,179.95,184.93
123.95,贴片电阻,182.03,182.38
123.95,贴片电容,179.5,182.38
123.95,塑封芯片,176.61,182.38
123.95,陶封芯片,179.11,182.38
124.34,贴片电阻,176.75,178.08
124.34,贴片电容,175.51,178.08
124.34,塑封芯片,172.59,178.08
124.34,陶封芯片,174.56,178.08
124.73,贴片电阻,174.9,177.51
124.73,贴片电容,175.46,177.51
124.73,塑封芯片,172.42,177.51
124.73,陶封芯片,175.45,177.51
125.12,贴片电阻,178.18,180.52
125.12,贴片电容,179.43,180.52
125.12,塑封芯片,174.04,180.52
125.12,陶封芯片,175.74,180.52
125.51,贴片电阻,178.14,179.92
125.51,贴片电容,178.08,179.92
125.51,塑封芯片,173.04,179.92
125.51,陶封芯片,176.9,179.92
125.9,贴片电阻,181.5,182.66
125.9,贴片电容,181.56,182.66
125.9,塑封芯片,174.96,182.66
125.9,陶封芯片,179.2,182.66
126.3,贴片电阻,176.49,177.77
126.3,贴片电容,176.86,177.77
126.3,塑封芯片,172.27,177.77
126.3,陶封芯片,173.16,177.77
126.69,贴片电阻,181.68,183.65
126.69,贴片电容,180.72,183.65
126.69,塑封芯片,176.64,183.65
126.69,陶封芯片,180.3,183.65
127.08,贴片电阻,181.47,183.97
127.08,贴片电容,183.82,183.97
127.08,塑封芯片,177.11,183.97
127.08,陶封芯片,179.85,183.97
127.47,贴片电阻,180.51,180.62
127.47,贴片电容,178.85,180.62
127.47,塑封芯片,172.91,180.62
127.47,陶封芯片,178.27,180.62
127.86,贴片电阻,183.15,184.33
127.86,贴片电容,181.4,184.33
127.86,塑封芯片,179.23,184.33
127.86,陶封芯片,182.06,184.33
128.25,贴片电阻,183.91,184.45
128.25,贴片电容,182.46,184.45
128.25,塑封芯片,177.78,184.45
128.25,陶封芯片,181.14,184.45
128.64,贴片电阻,183.26,183.28
128.64,贴片电容,182.37,183.28
128.64,塑封芯片,175.75,183.28
128.64,陶封芯片,179.55,183.28
129.03,贴片电阻,182.86,185.49
129.03,贴片电容,183.19,185.49
129.03,塑封芯片,180.43,185.49
129.03,陶封芯片,182.53,185.49
129.42,贴片电阻,175.7,176.84
129.42,贴片电容,176.75,176.84
129.42,塑封芯片,168.96,176.84
129.42,陶封芯片,172.55,176.84
129.81,贴片电阻,181.99,182.62
129.81,贴片电容,179.76,182.62
129.81,塑封芯片,174.81,182.62
129.81,陶封芯片,178.89,182.62
130.21,贴片电阻,181.03,182.9
130.21,贴片电容,182.02,182.9
130.21,塑封芯片,177.25,182.9
130.21,陶封芯片,179.26,182.9
130.6,贴片电阻,179.49,181.21
130.6,贴片电容,178.44,181.21
130.6,塑封芯片,175.3,181.21
130.6,陶封芯片,177.63,181.21
130.99,贴片电阻,185.25,186.5
130.99,贴片电容,186.33,186.5
130.99,塑封芯片,179.82,186.5
130.99,陶封芯片,182.45,186.5
131.38,贴片电阻,176.53,177.2
131.38,贴片电容,174.83,177.2
131.38,塑封芯片,171.41,177.2
131.38,陶封芯片,172.95,177.2
131.77,贴片电阻,182.87,184.27
131.77,贴片电容,182.71,184.27
131.77,塑封芯片,177.71,184.27
131.77,陶封芯片,182.23,184.27
132.16,贴片电阻,181.85,182.25
132.16,贴片电容,180.61,182.25
132.16,塑封芯片,174.62,182.25
132.16,陶封芯片,179.31,182.25
132.55,贴片电阻,180.72,182.88
132.55,贴片电容,181.45,182.88
132.55,塑封芯片,174.93,182.88
132.55,陶封芯片,180.09,182.88
132.94,贴片电阻,183.97,186.96
132.94,贴片电容,183.97,186.96
132.94,塑封芯片,181.93,186.96
132.94,陶封芯片,184.67,186.96
133.33,贴片电阻,180.0,182.22
133.33,贴片电容,179.8,182.22
133.33,塑封芯片,176.67,182.22
133.33,陶封芯片,177.82,182.22
133.72,贴片电阻,181.2,182.45
133.72,贴片电容,180.38,182.45
133.72,塑封芯片,176.78,182.45
133.72,陶封芯片,179.11,182.45
134.12,贴片电阻,181.54,183.22
134.12,贴片电容,181.28,183.22
134.12,塑封芯片,177.78,183.22
134.12,陶封芯片,178.42,183.22
134.51,贴片电阻,180.49,181.46
134.51,贴片电容,178.72,181.46
134.51,塑封芯片,174.29,181.46
134.51,陶封芯片,177.78,181.46
134.9,贴片电阻,184.88,186.52
134.9,贴片电容,184.95,186.52
134.9,塑封芯片,179.35,186.52
134.9,陶封芯片,184.0,186.52
135.29,贴片电阻,184.39,186.84
135.29,贴片电容,184.48,186.84
135.29,塑封芯片,181.19,186.84
135.29,陶封芯片,183.76,186.84
135.68,贴片电阻,177.39,179.66
135.68,贴片电容,176.69,179.66
135.68,塑封芯片,173.26,179.66
135.68,陶封芯片,176.55,179.66
136.07,贴片电阻,178.45,181.16
136.07,贴片电容,180.62,181.16
136.07,塑封芯片,174.07,181.16
136.07,陶封芯片,177.1,181.16
136.46,贴片电阻,177.81,179.78
136.46,贴片电容,177.24,179.78
136.46,塑封芯片,172.2,179.78
136.46,陶封芯片,176.73,179.78
136.85,贴片电阻,184.39,185.91
136.85,贴片电容,184.12,185.91
136.85,塑封芯片,179.05,185.91
136.85,陶封芯片,183.36,185.91
137.24,贴片电阻,186.97,187.04
137.24,贴片电容,185.13,187.04
137.24,塑封芯片,179.57,187.04
137.24,陶封芯片,182.26,187.04
137.63,贴片电阻,185.03,185.65
137.63,贴片电容,185.16,185.65
137.63,塑封芯片,179.59,185.65
137.63,陶封芯片,183.35,185.65
138.03,贴片电阻,182.46,185.07
138.03,贴片电容,182.19,185.07
138.03,塑封芯片,177.27,185.07
138.03,陶封芯片,182.32,185.07
138.42,贴片电阻,178.3,180.99
138.42,贴片电容,178.62,180.99
138.42,塑封芯片,174.33,180.99
138.42,陶封芯片,178.97,180.99
138.81,贴片电阻,182.71,184.83
138.81,贴片电容,184.04,184.83
138.81,塑封芯片,179.57,184.83
138.81,陶封芯片,180.79,184.83
139.2,贴片电阻,179.06,180.26
139.2,贴片电容,178.44,180.26
139.2,塑封芯片,173.76,180.26
139.2,陶封芯片,175.95,180.26
139.59,贴片电阻,177.6,179.66
139.59,贴片电容,178.86,179.66
139.59,塑封芯片,172.02,179.66
139.59,陶封芯片,176.02,179.66
139.98,贴片电阻,180.0,180.29
139.98,贴片电容,180.2,180.29
139.98,塑封芯片,172.53,180.29
139.98,陶封芯片,177.62,180.29
140.37,贴片电阻,184.26,186.41
140.37,贴片电容,184.91,186.41
140.37,塑封芯片,180.13,186.41
140.37,陶封芯片,182.84,186.41
140.76,贴片电阻,183.69,184.85
140.76,贴片电容,183.99,184.85
140.76,塑封芯片,179.6,184.85
140.76,陶封芯片,182.1,184.85
141.15,贴片电阻,176.36,178.89
141.15,贴片电容,176.23,178.89
141.15,塑封芯片,171.09,178.89
141.15,陶封芯片,174.04,178.89
141.54,贴片电阻,183.82,185.9
141.54,贴片电容,183.0,185.9
141.54,塑封芯片,178.92,185.9
141.54,陶封芯片,181.34,185.9
141.94,贴片电阻,182.89,185.49
141.94,贴片电容,185.39,185.49
141.94,塑封芯片,180.4,185.49
141.94,陶封芯片,182.03,185.49
142.33,贴片电阻,177.37,179.34
142.33,贴片电容,178.68,179.34
142.33,塑封芯片,173.94,179.34
142.33,陶封芯片,175.4,179.34
142.72,贴片电阻,181.06,182.59
142.72,贴片电容,182.45,182.59
142.72,塑封芯片,176.24,182.59
142.72,陶封芯片,179.72,182.59
143.11,贴片电阻,181.06,181.53
143.11,贴片电容,180.57,181.53
143.11,塑封芯片,174.83,181.53
143.11,陶封芯片,177.91,181.53
143.5,贴片电阻,180.44,182.98
143.5,贴片电容,180.92,182.98
143.5,塑封芯片,177.01,182.98
143.5,陶封芯片,180.78,182.98
143.89,贴片电阻,186.49,187.92
143.89,贴片电容,186.72,187.92
143.89,塑封芯片,181.39,187.92
143.89,陶封芯片,184.96,187.92
144.28,贴片电阻,178.36,179.7
144.28,贴片电容,177.34,179.7
144.28,塑封芯片,172.36,179.7
144.28,陶封芯片,176.11,179.7
144.67,贴片电阻,179.27,179.92
144.67,贴片电容,177.15,179.92
144.67,塑封芯片,174.07,179.92
144.67,陶封芯片,175.61,179.92
145.06,贴片电阻,180.03,181.54
145.06,贴片电容,181.09,181.54
145.06,塑封芯片,175.79,181.54
145.06,陶封芯片,178.46,181.54
145.45,贴片电阻,185.25,187.56
145.45,贴片电容,186.3,187.56
145.45,塑封芯片,181.94,187.56
145.45,陶封芯片,183.3,187.56
145.85,贴片电阻,181.54,183.05
145.85,贴片电容,180.21,183.05
